,label,tweet,tokenize_text,stop removal text,stemmed_text
10,Negatif,betul min rakyat indonesia sekarang harapan nya tinggal sama tentara nasional indonesia saja kalau yang lain lihat saja sudah jelas penyerangan ke kantor media katanya tidak ada unsur pidananya sudah jelas menghina presiden indonesia yang sah cuma lucu lucu an saja tentara nasional indonesia uniform resource locator,"['betul', 'min', 'rakyat', 'indonesia', 'sekarang', 'harapan', 'nya', 'tinggal', 'sama', 'tentara', 'nasional', 'indonesia', 'saja', 'kalau', 'yang', 'lain', 'lihat', 'saja', 'sudah', 'jelas', 'penyerangan', 'ke', 'kantor', 'media', 'katanya', 'tidak', 'ada', 'unsur', 'pidananya', 'sudah', 'jelas', 'menghina', 'presiden', 'indonesia', 'yang', 'sah', 'cuma', 'lucu', 'lucu', 'an', 'saja', 'tentara', 'nasional', 'indonesia', 'uniform', 'resource', 'locator']","['betul', 'min', 'rakyat', 'indonesia', 'sekarang', 'harapan', 'nya', 'tinggal', 'sama', 'tentara', 'nasional', 'indonesia', 'kalau', 'lain', 'lihat', 'jelas', 'penyerangan', 'kantor', 'media', 'katanya', 'ada', 'unsur', 'pidananya', 'sudah', 'jelas', 'menghina', 'presiden', 'indonesia', 'sah', 'cuma', 'lucu', 'lucu', 'an', 'tentara', 'nasional', 'indonesia', 'uniform', 'resource', 'locator']",betul min rakyat indonesia sekarang harap nya tinggal sama tentara nasional indonesia kalau lain lihat jelas serang kantor media kata ada unsur pidana sudah jelas hina presiden indonesia sah cuma lucu lucu an tentara nasional indonesia uniform resource locator
11,Negatif,kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga belin mereka hadiah dan sebagainya kan kpopers baru ya fansite sudah ada dari jaman kamera belum sebening sekarang,"['kalaupun', 'fansite', 'ngejual', 'hasil', 'jepretan', 'mereka', 'toh', 'uang', 'nya', 'lari', 'ke', 'idol', 'juga', 'belin', 'mereka', 'hadiah', 'dan', 'sebagainya', 'kan', 'kpopers', 'baru', 'ya', 'fansite', 'sudah', 'ada', 'dari', 'jaman', 'kamera', 'belum', 'sebening', 'sekarang']","['kalaupun', 'fansite', 'ngejual', 'hasil', 'jepretan', 'toh', 'uang', 'nya', 'lari', 'idol', 'belin', 'hadiah', 'sebagainya', 'kan', 'kpopers', 'baru', 'fansite', 'ada', 'jaman', 'kamera', 'sebening', 'sekarang']",kalaupun fansite ngejual hasil jepret toh uang nya lari idol bin hadiah bagai kan kpopers baru fansite ada jaman kamera bening sekarang
12,Positif,sangat bersyukur bisa mendoakan kakeknya bung karno bersama anakanak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomoruntukjatim jatimpilihgusipulputi semua bersaudara semua makmur nama pengguna h,"['sangat', 'bersyukur', 'bisa', 'mendoakan', 'kakeknya', 'bung', 'karno', 'bersama', 'anakanak', 'yatim', 'piatu', 'bulanbungkarno', 'junibulanbungkarno', 'penyambunglidahrakyatindonesia', 'nomoruntukjatim', 'jatimpilihgusipulputi', 'semua', 'bersaudara', 'semua', 'makmur', 'nama', 'pengguna', 'h']","['sangat', 'bersyukur', 'mendoakan', 'kakeknya', 'bung', 'karno', 'bersama', 'anakanak', 'yatim', 'piatu', 'bulanbungkarno', 'junibulanbungkarno', 'penyambunglidahrakyatindonesia', 'nomoruntukjatim', 'jatimpilihgusipulputi', 'semua', 'bersaudara', 'semua', 'makmur', 'nama', 'pengguna', 'h']",sangat syukur doa kakek bung karno sama anakanak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomoruntukjatim jatimpilihgusipulputi semua saudara semua makmur nama guna h
13,Negatif,sulit menerima kenyatan memang bahwa ada sebagian yang mengangap ketika kita berinteraksi dengan satu orang dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar,"['sulit', 'menerima', 'kenyatan', 'memang', 'bahwa', 'ada', 'sebagian', 'yang', 'mengangap', 'ketika', 'kita', 'berinteraksi', 'dengan', 'satu', 'orang', 'dari', 'satu', 'golongan', 'tertentu', 'kita', 'langsung', 'mengatakan', 'golongan', 'tertentu', 'sesat', 'tanpa', 'kita', 'mempelajari', 'secara', 'utuh', 'dan', 'mengklaim', 'diri', 'kita', 'paling', 'benar']","['sulit', 'menerima', 'kenyatan', 'memang', 'ada', 'sebagian', 'mengangap', 'berinteraksi', 'satu', 'orang', 'satu', 'golongan', 'tertentu', 'langsung', 'mengatakan', 'golongan', 'tertentu', 'sesat', 'kita', 'mempelajari', 'utuh', 'mengklaim', 'diri', 'kita', 'paling', 'benar']",sulit terima kenyat memang ada bagi mengangap interaksi satu orang satu golong tentu langsung kata golong tentu sesat kita ajar utuh klaim diri kita paling benar
14,Negatif,samanye sudah maling semua tidak sih jancuk tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,"['samanye', 'sudah', 'maling', 'semua', 'tidak', 'sih', 'jancuk', 'tidak', 'sih', 'anjing', 'tidak', 'sih', 'siluman', 'monyet', 'haha', 'satu', 'hati', 'sama', 'sama', 'maling']","['samanye', 'maling', 'semua', 'sih', 'jancuk', 'sih', 'anjing', 'sih', 'siluman', 'monyet', 'haha', 'satu', 'hati', 'sama', 'sama', 'maling']",samanye maling semua sih jancuk sih anjing sih siluman monyet haha satu hati sama sama maling
15,Negatif,ku juga ingin mengamuk bacakan komen warganet yang mahabenar ya lord tidak habis pikir komen macam begini yang bikin kasus pelecehan seksual akan tengelam begitu saja tidak ada hukuman untuk pelaku lebih sedihnya rata rata yang komen jahat adalah perempuan mbaq kesehatanmu lah uniform resource locator,"['ku', 'juga', 'ingin', 'mengamuk', 'bacakan', 'komen', 'warganet', 'yang', 'mahabenar', 'ya', 'lord', 'tidak', 'habis', 'pikir', 'komen', 'macam', 'begini', 'yang', 'bikin', 'kasus', 'pelecehan', 'seksual', 'akan', 'tengelam', 'begitu', 'saja', 'tidak', 'ada', 'hukuman', 'untuk', 'pelaku', 'lebih', 'sedihnya', 'rata', 'rata', 'yang', 'komen', 'jahat', 'adalah', 'perempuan', 'mbaq', 'kesehatanmu', 'lah', 'uniform', 'resource', 'locator']","['ku', 'ingin', 'mengamuk', 'bacakan', 'komen', 'warganet', 'mahabenar', 'lord', 'habis', 'pikir', 'komen', 'macam', 'begini', 'bikin', 'kasus', 'pelecehan', 'seksual', 'tengelam', 'saja', 'ada', 'hukuman', 'pelaku', 'lebih', 'sedihnya', 'rata', 'rata', 'komen', 'jahat', 'perempuan', 'mbaq', 'kesehatanmu', 'lah', 'uniform', 'resource', 'locator']",ku ingin amuk baca komen warganet mahabenar lord habis pikir komen macam begini bikin kasus leceh seksual tengelam saja ada hukum laku lebih sedih rata rata komen jahat perempuan mbaq sehat lah uniform resource locator
16,Positif,setiap kesempatan yang pernah hadir untuk dapat membuatmu selalu merasa aman dan nyaman kini jadi suatu kehormatan yang pernah didapat,"['setiap', 'kesempatan', 'yang', 'pernah', 'hadir', 'untuk', 'dapat', 'membuatmu', 'selalu', 'merasa', 'aman', 'dan', 'nyaman', 'kini', 'jadi', 'suatu', 'kehormatan', 'yang', 'pernah', 'didapat']","['kesempatan', 'pernah', 'hadir', 'dapat', 'membuatmu', 'selalu', 'merasa', 'aman', 'nyaman', 'kini', 'jadi', 'suatu', 'kehormatan', 'pernah', 'didapat']",sempat pernah hadir dapat buat selalu rasa aman nyaman kini jadi suatu hormat pernah dapat
17,Negatif,sedap kali kamu ya tidur dikasur ku aku tidur kamu ikut tidur mau jadi apa kamu bacanya pakai logat mamak dahlia di keluarga badak,"['sedap', 'kali', 'kamu', 'ya', 'tidur', 'dikasur', 'ku', 'aku', 'tidur', 'kamu', 'ikut', 'tidur', 'mau', 'jadi', 'apa', 'kamu', 'bacanya', 'pakai', 'logat', 'mamak', 'dahlia', 'di', 'keluarga', 'badak']","['sedap', 'kali', 'kamu', 'tidur', 'dikasur', 'ku', 'aku', 'tidur', 'kamu', 'ikut', 'tidur', 'mau', 'jadi', 'apa', 'kamu', 'bacanya', 'pakai', 'logat', 'mamak', 'dahlia', 'keluarga', 'badak']",sedap kali kamu tidur kasur ku aku tidur kamu ikut tidur mau jadi apa kamu baca pakai logat mamak dahlia keluarga badak
18,Positif,h mau ke bank ramai banget sampai antrean tempat duduknya ada di luar toko emas meluber sampai tidak kelihatan mbaknya yang jualan ke swalayan antrean kasir naudzubilah panjang benar pada bahagia semua kayaknya semoga oh semoga rumah sakit sepi pasien pada sembuh dan pulang untuk berbahagia,"['h', 'mau', 'ke', 'bank', 'ramai', 'banget', 'sampai', 'antrean', 'tempat', 'duduknya', 'ada', 'di', 'luar', 'toko', 'emas', 'meluber', 'sampai', 'tidak', 'kelihatan', 'mbaknya', 'yang', 'jualan', 'ke', 'swalayan', 'antrean', 'kasir', 'naudzubilah', 'panjang', 'benar', 'pada', 'bahagia', 'semua', 'kayaknya', 'semoga', 'oh', 'semoga', 'rumah', 'sakit', 'sepi', 'pasien', 'pada', 'sembuh', 'dan', 'pulang', 'untuk', 'berbahagia']","['h', 'mau', 'bank', 'ramai', 'banget', 'antrean', 'tempat', 'duduknya', 'di', 'luar', 'toko', 'emas', 'meluber', 'tidak', 'kelihatan', 'mbaknya', 'jualan', 'swalayan', 'antrean', 'kasir', 'naudzubilah', 'panjang', 'benar', 'bahagia', 'semua', 'kayaknya', 'semoga', 'semoga', 'rumah', 'sakit', 'sepi', 'pasien', 'sembuh', 'pulang', 'berbahagia']",h mau bank ramai banget antre tempat duduk di luar toko emas luber tidak lihat mbak jual swalayan antre kasir naudzubilah panjang benar bahagia semua kayak moga moga rumah sakit sepi pasien sembuh pulang bahagia
19,Negatif,benar hancur negara ini dikelola amatiran tetapi kenpak nama pengguna tidak mengindahkan statementnya sendiri negara miskin kordinasi jangan asal gagahan setalah salah dianulir mana marwahmu wahai mr nama pengguna presiden uniform resource locator,"['benar', 'hancur', 'negara', 'ini', 'dikelola', 'amatiran', 'tetapi', 'kenpak', 'nama', 'pengguna', 'tidak', 'mengindahkan', 'statementnya', 'sendiri', 'negara', 'miskin', 'kordinasi', 'jangan', 'asal', 'gagahan', 'setalah', 'salah', 'dianulir', 'mana', 'marwahmu', 'wahai', 'mr', 'nama', 'pengguna', 'presiden', 'uniform', 'resource', 'locator']","['benar', 'hancur', 'negara', 'dikelola', 'amatiran', 'kenpak', 'nama', 'pengguna', 'mengindahkan', 'statementnya', 'sendiri', 'negara', 'miskin', 'kordinasi', 'jangan', 'asal', 'gagahan', 'setalah', 'salah', 'dianulir', 'mana', 'marwahmu', 'wahai', 'mr', 'nama', 'pengguna', 'presiden', 'uniform', 'resource', 'locator']",benar hancur negara kelola amatir kenpak nama guna indah statementnya sendiri negara miskin kordinasi jangan asal gagah seta salah anulir mana marwahmu wahai mr nama guna presiden uniform resource locator
20,Negatif,budayakan mencari dan membaca sebelum bertanya ya sudah dijelaskan berkali kok selama tidak diaturgada ketentuan khusus pakai saja,"['budayakan', 'mencari', 'dan', 'membaca', 'sebelum', 'bertanya', 'ya', 'sudah', 'dijelaskan', 'berkali', 'kok', 'selama', 'tidak', 'diaturgada', 'ketentuan', 'khusus', 'pakai', 'saja']","['budayakan', 'mencari', 'membaca', 'bertanya', 'sudah', 'dijelaskan', 'berkali', 'kok', 'selama', 'diaturgada', 'ketentuan', 'khusus', 'pakai']",budaya cari baca tanya sudah jelas kali kok lama diaturgada tentu khusus pakai
21,Negatif,separuh hati ini iri jika melihat seorang anak yang masih bisa duduk atau berjalan bersama ibundanya dan separuh hati ini turut berempati melihat seorang anak yang begitu gundah sat ibundanya sakit yang sabar ya kawan semoga alah memberikan yang terbaik untuk kita semua,"['separuh', 'hati', 'ini', 'iri', 'jika', 'melihat', 'seorang', 'anak', 'yang', 'masih', 'bisa', 'duduk', 'atau', 'berjalan', 'bersama', 'ibundanya', 'dan', 'separuh', 'hati', 'ini', 'turut', 'berempati', 'melihat', 'seorang', 'anak', 'yang', 'begitu', 'gundah', 'sat', 'ibundanya', 'sakit', 'yang', 'sabar', 'ya', 'kawan', 'semoga', 'alah', 'memberikan', 'yang', 'terbaik', 'untuk', 'kita', 'semua']","['separuh', 'hati', 'iri', 'melihat', 'seorang', 'anak', 'masih', 'duduk', 'berjalan', 'bersama', 'ibundanya', 'separuh', 'hati', 'turut', 'berempati', 'melihat', 'seorang', 'anak', 'begitu', 'gundah', 'sat', 'ibundanya', 'sakit', 'sabar', 'kawan', 'semoga', 'alah', 'memberikan', 'terbaik', 'kita', 'semua']",paruh hati iri lihat orang anak masih duduk jalan sama ibunda paruh hati turut empat lihat orang anak begitu gundah sat ibunda sakit sabar kawan moga alah beri baik kita semua
22,Positif,ketika aku tersenyum bukan berarti hidupku sempurna aku hanya mensyukuri apa yang aku punya dan apa yang telah tuhan berikan untuk ku,"['ketika', 'aku', 'tersenyum', 'bukan', 'berarti', 'hidupku', 'sempurna', 'aku', 'hanya', 'mensyukuri', 'apa', 'yang', 'aku', 'punya', 'dan', 'apa', 'yang', 'telah', 'tuhan', 'berikan', 'untuk', 'ku']","['aku', 'tersenyum', 'bukan', 'berarti', 'hidupku', 'sempurna', 'aku', 'mensyukuri', 'apa', 'aku', 'punya', 'apa', 'telah', 'tuhan', 'berikan', 'ku']",aku senyum bukan arti hidup sempurna aku syukur apa aku punya apa telah tuhan ikan ku
23,Negatif,dari mau tidur tidur sampai bangun tidur kok ya kayak merasa aneh tidak enak hati sudah dibawa istighfar masih saja bangun tidur kayak sedih kayak pikir tidak puguh ini kenapa banget coba,"['dari', 'mau', 'tidur', 'tidur', 'sampai', 'bangun', 'tidur', 'kok', 'ya', 'kayak', 'merasa', 'aneh', 'tidak', 'enak', 'hati', 'sudah', 'dibawa', 'istighfar', 'masih', 'saja', 'bangun', 'tidur', 'kayak', 'sedih', 'kayak', 'pikir', 'tidak', 'puguh', 'ini', 'kenapa', 'banget', 'coba']","['mau', 'tidur', 'tidur', 'bangun', 'tidur', 'kok', 'kayak', 'merasa', 'aneh', 'enak', 'hati', 'dibawa', 'istighfar', 'saja', 'bangun', 'tidur', 'kayak', 'sedih', 'kayak', 'pikir', 'puguh', 'kenapa', 'banget', 'coba']",mau tidur tidur bangun tidur kok kayak rasa aneh enak hati bawa istighfar saja bangun tidur kayak sedih kayak pikir puguh kenapa banget coba
24,Positif,kan kupeluk engkau erat hinga tak ada seorang pun yang bisa merebut mu dari pelukan ku hapy aniversary sayang november bulan,"['kan', 'kupeluk', 'engkau', 'erat', 'hinga', 'tak', 'ada', 'seorang', 'pun', 'yang', 'bisa', 'merebut', 'mu', 'dari', 'pelukan', 'ku', 'hapy', 'aniversary', 'sayang', 'november', 'bulan']","['kan', 'kupeluk', 'engkau', 'erat', 'hinga', 'tak', 'seorang', 'yang', 'merebut', 'mu', 'pelukan', 'ku', 'hapy', 'aniversary', 'sayang', 'november', 'bulan']",kan peluk engkau erat hinga tak orang yang rebut mu peluk ku hapy aniversary sayang november bulan
25,Negatif,kalau mau ganti presiden itu harus jelas siapa calonya terus diadu program kerjanya ini koalisi belum ditentuin bisanya cuma buat kaos dan tagar,"['kalau', 'mau', 'ganti', 'presiden', 'itu', 'harus', 'jelas', 'siapa', 'calonya', 'terus', 'diadu', 'program', 'kerjanya', 'ini', 'koalisi', 'belum', 'ditentuin', 'bisanya', 'cuma', 'buat', 'kaos', 'dan', 'tagar']","['kalau', 'mau', 'ganti', 'presiden', 'harus', 'jelas', 'siapa', 'calonya', 'terus', 'diadu', 'program', 'kerjanya', 'koalisi', 'ditentuin', 'bisanya', 'cuma', 'buat', 'kaos', 'tagar']",kalau mau ganti presiden harus jelas siapa calo terus adu program kerja koalisi ditentuin bisa cuma buat kaos tagar
26,Positif,sukses dan keren banget dengan no kualitas bahan kerja itu cita punya agar warisan sampai ke cu sukses tims bpjn barakat terlimpahkan,"['sukses', 'dan', 'keren', 'banget', 'dengan', 'no', 'kualitas', 'bahan', 'kerja', 'itu', 'cita', 'punya', 'agar', 'warisan', 'sampai', 'ke', 'cu', 'sukses', 'tims', 'bpjn', 'barakat', 'terlimpahkan']","['sukses', 'keren', 'banget', 'no', 'kualitas', 'bahan', 'kerja', 'cita', 'punya', 'warisan', 'ke', 'cu', 'sukses', 'tims', 'bpjn', 'barakat', 'terlimpahkan']",sukses keren banget no kualitas bahan kerja cita punya waris ke cu sukses tims bpjn barakat limpah
27,Negatif,sudah mau sarjana kali mbokya mulut nya jangan ketingalan buat belajar sekiranya itu tidak perlu diungkapkan menambah dosa menyakiti hati orangnya mending diam baik lah kasihan anda nya yang di julidin sama orang,"['sudah', 'mau', 'sarjana', 'kali', 'mbokya', 'mulut', 'nya', 'jangan', 'ketingalan', 'buat', 'belajar', 'sekiranya', 'itu', 'tidak', 'perlu', 'diungkapkan', 'menambah', 'dosa', 'menyakiti', 'hati', 'orangnya', 'mending', 'diam', 'baik', 'lah', 'kasihan', 'anda', 'nya', 'yang', 'di', 'julidin', 'sama', 'orang']","['mau', 'sarjana', 'kali', 'mbokya', 'mulut', 'nya', 'jangan', 'ketingalan', 'buat', 'belajar', 'sekiranya', 'tidak', 'perlu', 'diungkapkan', 'menambah', 'dosa', 'menyakiti', 'hati', 'orangnya', 'mending', 'diam', 'baik', 'lah', 'kasihan', 'nya', 'di', 'julidin', 'sama', 'orang']",mau sarjana kali mbokya mulut nya jangan ketingalan buat ajar sekira tidak perlu ungkap tambah dosa sakit hati orang mending diam baik lah kasihan nya di julidin sama orang
